rating,cost,name,description,address,phone_number,google_maps_url,type,id
4.2,0,Taniti Paradise Beach,Enjoy the pristine white sandy beaches of Taniti. Perfect for sunbathing and water activities.,Taniti Paradise Beach%%% Taniti%%% French Polynesia,+689 12345678,https://maps.google.com/maps?output=embed&q=-17.5711%%%-149.6075,beaches,1
3.8,1,Coral Breeze Restaurant,Savor delicious local and international cuisine with a stunning view of the Pacific Ocean.,Coral Breeze Restaurant%%% Papeete%%% Taniti%%% French Polynesia,+689 23456789,https://maps.google.com/maps?output=embed&q=-17.5367%%%-149.5694,restaurants,2
4.5,0,Majestic Peaks Hike,Embark on an exhilarating hike through the majestic peaks of Taniti%%% surrounded by lush greenery.,Majestic Peaks Hike%%% Taniti%%% French Polynesia,+689 34567890,https://maps.google.com/maps?output=embed&q=-17.6333%%%-149.5333,hiking,3
3.9,2,Tropical Rentals,Rent a variety of cars%%% water sports equipment, and explore the crystal-clear waters of Taniti.,Tropical Rentals%%% Punaauia%%% Taniti%%% French Polynesia,+689 45678901,https://maps.google.com/maps?output=embed&q=-17.6272%%%-149.6114,rentals,4
4,2,Marketplace Haven,Indulge in a shopping spree at Marketplace Haven%%% offering a wide range of local crafts and souvenirs.,Marketplace Haven%%% Faaa%%% Taniti%%% French Polynesia,+689 56789012,https://maps.google.com/maps?output=embed&q=-17.5546%%%-149.5998,shopping,5
4.3,3,Cultural Harmony Event Center,Immerse yourself in Tanitian culture with vibrant events and performances at Cultural Harmony Event Center.,Cultural Harmony Event Center%%% Papeete%%% Taniti%%% French Polynesia,+689 67890123,https://maps.google.com/maps?output=embed&q=-17.5321%%%-149.5665,culture,6
4.7,2,Lagoon View Hotel,Experience luxury and comfort at Lagoon View Hotel%%% overlooking the stunning Tanitian lagoon.,Lagoon View Hotel%%% Punaauia%%% Taniti%%% French Polynesia,+689 78901234,https://maps.google.com/maps?output=embed&q=-17.5866%%%-149.6048,hotels,7
4.4,3,Nature Oasis Reserve,Discover the untouched beauty of Taniti at Nature Oasis Reserve%%% a haven for nature lovers.,Nature Oasis Reserve%%% Faaa%%% Taniti%%% French Polynesia,+689 89012345,https://maps.google.com/maps?output=embed&q=-17.5444%%%-149.5823,nature,8
4,1,Sapphire Shores Beach,Discover the beauty of Sapphire Shores Beach%%% known for its crystal-clear waters and vibrant marine life.,Sapphire Shores Beach%%% Paea%%% Taniti%%% French Polynesia,+689 87654321,https://maps.google.com/maps?output=embed&q=-17.7163%%%-149.3567,beaches,9
3.9,1,Mango Delight Restaurant,Experience the flavors of Taniti at Mango Delight Restaurant%%% offering a menu inspired by fresh local ingredients.,Mango Delight Restaurant%%% Mahina%%% Taniti%%% French Polynesia,+689 76543210,https://maps.google.com/maps?output=embed&q=-17.4902%%%-149.4779,restaurants,10
4.5,3,Volcano Trek Adventure,Embark on an adrenaline-pumping trek to explore the volcanic landscapes of Taniti on the Volcano Trek Adventure.,Volcano Trek Adventure%%% Papeete%%% Taniti%%% French Polynesia,+689 65432109,https://maps.google.com/maps?output=embed&q=-17.5431%%%-149.5753,hiking,11
3.8,2,Aqua Sports Rentals,Rent top-quality water sports gear at Aqua Sports Rentals and enjoy an active day exploring Taniti's coast.,Aqua Sports Rentals%%% Punaauia%%% Taniti%%% French Polynesia,+689 54321098,https://maps.google.com/maps?output=embed&q=-17.5850%%%-149.6036,rentals,12
