rating,cost,name,description,address,phone_number,google_maps_url,type
4.2,2,Tahiti Paradise Beach,Enjoy the pristine white sandy beaches of Tahiti. Perfect for sunbathing and water activities.,Tahiti Paradise Beach%%% Tahiti%%% French Polynesia,+689 12345678,https://maps.google.com/?q=-17.5711%%%-149.6075,beaches
3.8,1,Coral Breeze Restaurant,Savor delicious local and international cuisine with a stunning view of the Pacific Ocean.,Coral Breeze Restaurant%%% Papeete%%% Tahiti%%% French Polynesia,+689 23456789,https://maps.google.com/?q=-17.5367%%%-149.5694,restaurants
4.5,3,Majestic Peaks Hike,Embark on an exhilarating hike through the majestic peaks of Tahiti%%% surrounded by lush greenery.,Majestic Peaks Hike%%% Tahiti%%% French Polynesia,+689 34567890,https://maps.google.com/?q=-17.6333%%%-149.5333,hiking
3.9,2,Tropical Rentals,Rent a variety of water sports equipment and explore the crystal-clear waters of Tahiti.,Tropical Rentals%%% Punaauia%%% Tahiti%%% French Polynesia,+689 45678901,https://maps.google.com/?q=-17.6272%%%-149.6114,rentals
4,2,Marketplace Haven,Indulge in a shopping spree at Marketplace Haven%%% offering a wide range of local crafts and souvenirs.,Marketplace Haven%%% Faaa%%% Tahiti%%% French Polynesia,+689 56789012,https://maps.google.com/?q=-17.5546%%%-149.5998,shopping
4.3,3,Cultural Harmony Event Center,Immerse yourself in Tahitian culture with vibrant events and performances at Cultural Harmony Event Center.,Cultural Harmony Event Center%%% Papeete%%% Tahiti%%% French Polynesia,+689 67890123,https://maps.google.com/?q=-17.5321%%%-149.5665,culture
4.7,4,Lagoon View Hotel,Experience luxury and comfort at Lagoon View Hotel%%% overlooking the stunning Tahitian lagoon.,Lagoon View Hotel%%% Punaauia%%% Tahiti%%% French Polynesia,+689 78901234,https://maps.google.com/?q=-17.5866%%%-149.6048,hotels
4.4,3,Nature Oasis Reserve,Discover the untouched beauty of Tahiti at Nature Oasis Reserve%%% a haven for nature lovers.,Nature Oasis Reserve%%% Faaa%%% Tahiti%%% French Polynesia,+689 89012345,https://maps.google.com/?q=-17.5444%%%-149.5823,nature
4,2,Sapphire Shores Beach,Discover the beauty of Sapphire Shores Beach%%% known for its crystal-clear waters and vibrant marine life.,Sapphire Shores Beach%%% Paea%%% Tahiti%%% French Polynesia,+689 87654321,https://maps.google.com/?q=-17.7163%%%-149.3567,beaches
3.9,1,Mango Delight Restaurant,Experience the flavors of Tahiti at Mango Delight Restaurant%%% offering a menu inspired by fresh local ingredients.,Mango Delight Restaurant%%% Mahina%%% Tahiti%%% French Polynesia,+689 76543210,https://maps.google.com/?q=-17.4902%%%-149.4779,restaurants
4.5,3,Volcano Trek Adventure,Embark on an adrenaline-pumping trek to explore the volcanic landscapes of Tahiti on the Volcano Trek Adventure.,Volcano Trek Adventure%%% Papeete%%% Tahiti%%% French Polynesia,+689 65432109,https://maps.google.com/?q=-17.5431%%%-149.5753,hiking
3.8,2,Aqua Sports Rentals,Rent top-quality water sports gear at Aqua Sports Rentals and enjoy an active day exploring Tahiti's coast.,Aqua Sports Rentals%%% Punaauia%%% Tahiti%%% French Polynesia,+689 54321098,https://maps.google.com/?q=-17.5850%%%-149.6036,rentals
4.2,2,Tropical Bazaar Shopping Center,Shop for unique treasures at the Tropical Bazaar Shopping Center%%% a haven for art%%% crafts%%% and souvenirs.,Tropical Bazaar Shopping Center%%% Pirae%%% Tahiti%%% French Polynesia,+689 43210987,https://maps.google.com/?q=-17.5258%%%-149.5678,shopping
4.3,3,Island Rhythms Cultural Show,Immerse yourself in the vibrant Island Rhythms Cultural Show%%% featuring traditional music%%% dance%%% and storytelling.,Island Rhythms Cultural Show%%% Arue%%% Tahiti%%% French Polynesia,+689 32109876,https://maps.google.com/?q=-17.5327%%%-149.5167,culture
4.6,4,Coral Reef Resort,Experience luxury surrounded by the coral reefs at Coral Reef Resort%%% offering stunning views and world-class amenities.,Coral Reef Resort%%% Punaauia%%% Tahiti%%% French Polynesia,+689 21098765,https://maps.google.com/?q=-17.5922%%%-149.6094,hotels
4.4,3,Hidden Haven Nature Reserve,Explore the serene beauty of Hidden Haven Nature Reserve%%% a peaceful retreat in the heart of Tahiti.,Hidden Haven Nature Reserve%%% Papeari%%% Tahiti%%% French Polynesia,+689 10987654,https://maps.google.com/?q=-17.7640%%%-149.4542,nature
4.1,2,Crystal Cove Beach,Escape to the pristine shores of Crystal Cove Beach%%% where turquoise waters meet white sandy beaches.,Crystal Cove Beach%%% Punaauia%%% Tahiti%%% French Polynesia,+689 98765432,https://maps.google.com/?q=-17.6142%%%-149.6119,beaches
3.6,1,Tiki Terrace Restaurant,Indulge in Tahitian delicacies at Tiki Terrace Restaurant%%% surrounded by lush tropical gardens.,Tiki Terrace Restaurant%%% Mahina%%% Tahiti%%% French Polynesia,+689 87654321,https://maps.google.com/?q=-17.5189%%%-149.4901,restaurants
4.3,3,Cloud Forest Hike,Embark on a mystical journey through the Cloud Forest Hike%%% surrounded by misty landscapes and diverse flora.,Cloud Forest Hike%%% Papeete%%% Tahiti%%% French Polynesia,+689 76543210,https://maps.google.com/?q=-17.5454%%%-149.5732,hiking
3.9,2,Azure Adventures Rentals,Rent kayaks%%% paddleboards%%% and more at Azure Adventures Rentals for an exciting day on Tahiti's azure waters.,Azure Adventures Rentals%%% Paea%%% Tahiti%%% French Polynesia,+689 65432109,https://maps.google.com/?q=-17.7401%%%-149.3064,rentals
4.5,2,Mango Market,Explore the vibrant stalls of Mango Market%%% offering fresh produce%%% local crafts%%% and Tahitian specialties.,Mango Market%%% Pirae%%% Tahiti%%% French Polynesia,+689 54321098,https://maps.google.com/?q=-17.5267%%%-149.5729,shopping
4.2,3,Tahitian Harmony Festival,Celebrate the richness of Tahitian culture at the Tahitian Harmony Festival%%% featuring music%%% dance%%% and traditional art.,Tahitian Harmony Festival%%% Arue%%% Tahiti%%% French Polynesia,+689 43210987,https://maps.google.com/?q=-17.5346%%%-149.5108,culture
4.7,4,Turquoise Tides Resort,Experience opulence at Turquoise Tides Resort%%% nestled along the pristine turquoise waters of Tahiti.,Turquoise Tides Resort%%% Punaauia%%% Tahiti%%% French Polynesia,+689 32109876,https://maps.google.com/?q=-17.5899%%%-149.6125,hotels
4.4,3,Floral Oasis Nature Reserve,Immerse yourself in the beauty of Floral Oasis Nature Reserve%%% a haven for rare flora and fauna.,Floral Oasis Nature Reserve%%% Papara%%% Tahiti%%% French Polynesia,+689 21098765,https://maps.google.com/?q=-17.7317%%%-149.5463,nature
4.2,2,Golden Sands Beach,Enjoy the golden sands and clear waters of Golden Sands Beach%%% perfect for a relaxing day in Tahiti.,Golden Sands Beach%%% Paea%%% Tahiti%%% French Polynesia,+689 87654321,https://maps.google.com/?q=-17.7435%%%-149.3087,beaches
3.7,1,Culinary Cove Restaurant,Delight your taste buds at Culinary Cove Restaurant%%% offering a diverse menu inspired by local flavors.,Culinary Cove Restaurant%%% Mahina%%% Tahiti%%% French Polynesia,+689 76543210,https://maps.google.com/?q=-17.5103%%%-149.4825,restaurants
4.6,3,Mountain Majesty Hike,Embark on an awe-inspiring trek through the Mountain Majesty Hike%%% surrounded by majestic peaks and panoramic views.,Mountain Majesty Hike%%% Papeete%%% Tahiti%%% French Polynesia,+689 65432109,https://maps.google.com/?q=-17.5398%%%-149.5741,hiking
